SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0354,354,50,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,Contralateral 25-deg ERB,2.46892370333689
P0354,354,50,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,6.85605605965989
P0354,354,50,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,1.97399079896951
P0354,354,50,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,1.4162955975066
P0354,354,50,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,1.87957720608708
P0354,354,50,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,5.70274112557429
P0354,354,50,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,1.58006507100915
P0354,354,50,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,1.30108405818601
P0354,354,50,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,1.9112789268444
P0354,354,50,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,5.39026502048997
P0354,354,50,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,1.65504584555269
P0354,354,50,MCA,MCA,FullSphereERB,Full-sphere ERB,0.979361184128714
P0354,354,50,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,1.56920993801372
P0354,354,50,MCA,MCA,ContralateralHighFrequency,Contralateral HF,4.69188207300254
P0354,354,50,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,0.804491458978315
P0354,354,50,MCARv351,MCAR v3.5.1,FullSphereERB,Full-sphere ERB,0.831858477660782
P0354,354,50,MCARv351,MCAR v3.5.1,Contralateral25ERB,Contralateral 25-deg ERB,1.3540935640605
