SubjectLabel,SubjectID,Split,Method,MethodLabel,DirectionCount,Endpoint,EvidenceTier,Unit,EvaluationDirectionCount,Value
P0193,193,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.383510947227478
P0193,193,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.349954665917306
P0193,193,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2981244030520758
P0193,193,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.2277857065200806
P0193,193,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.856769247097088
P0193,193,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.1783501669248699
P0194,194,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.6702312231063843
P0194,194,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,29.267075317931099
P0194,194,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4111201395884669
P0194,194,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.6178668737411499
P0194,194,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,19.278842836180306
P0194,194,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2183593609613994
P0194,194,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.4403133392333984
P0194,194,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,20.819723482813295
P0194,194,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.1810561107868316
P0198,198,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.6029033660888672
P0198,198,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,21.549934440957966
P0198,198,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4874322726423328
P0198,198,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.4571350812911987
P0198,198,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,18.073353655154349
P0198,198,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3841050819622405
P0198,198,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.3588024377822876
P0198,198,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,19.073264067615249
P0198,198,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3179988797366975
P0202,202,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.606137752532959
P0202,202,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.735670355410335
P0202,202,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4657158245202311
P0202,202,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.6079082489013672
P0202,202,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,13.672256200023291
P0202,202,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3615863926041101
P0202,202,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.4699535369873047
P0202,202,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.927419538489607
P0202,202,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2263812593367822
P0203,203,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4220983982086182
P0203,203,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,24.755272848688143
